2000,2001,2002,2003
"AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK"
"Arcense Bierbrouwerij (AB-InBev)","Arcense Bierbrouwerij (AB-InBev)","Arcense Bierbrouwerij (AB-InBev)","Apatinska Pivara (MolsonCoors)"
"Belle-Vue (InBev)","Belle-Vue (InBev)","Belle-Vue (InBev)","Arcense Bierbrouwerij (AB-InBev)"
"Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Belle-Vue (InBev)"
"Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Bergenbier SA (MolsonCoors)"
"Branik (InBev)","Branik (InBev)","Branik (InBev)","Borsodi Sörgyár (MolsonCoors)"
"Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Branik (InBev)"
"Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)"
"Brouwerij de Oranjeboom (InBev)","Brauerei Beck & Co./Becks (InBev)","Brauerei Beck & Co./Becks (InBev)","Brasserie Piedboeuf (InBev)"
"Brouwerij Hoegaarden (AB-InBev)","Brauerei Diebels &#40;InBev&#41;","Brauerei Diebels &#40;InBev&#41;","Brauerei Beck & Co./Becks (InBev)"
"Chernigivskyj Pivzavod (Sun-InBev)","Brouwerij de Oranjeboom (InBev)","Brouwerij de Oranjeboom (InBev)","Brauerei Diebels &#40;InBev&#41;"
"Columbia Brewery &#40;Labatt-InBev&#41;","Brouwerij Hoegaarden (AB-InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij de Oranjeboom (InBev)"
"Dommelsche Bierbrouwerij (InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Brouwerij Hoegaarden (AB-InBev)"
"Haskovo (MolsonCoors)","Columbia Brewery &#40;Labatt-InBev&#41;","Columbia Brewery &#40;Labatt-InBev&#41;","Chernigivskyj Pivzavod (Sun-InBev)"
"InBev Belgium","Dommelsche Bierbrouwerij (InBev)","Dommelsche Bierbrouwerij (InBev)","Columbia Brewery &#40;Labatt-InBev&#41;"
"Jinhua InBev Double Deer Beer Co.","Haskovo (MolsonCoors)","Gilde Brauerei &#40;InBev&#41;","Dommelsche Bierbrouwerij (InBev)"
"Klinskiy Pivokombinat (Sun-InBev)","Hemelinger Getränke Ahlers GmbH","Haskovo (MolsonCoors)","Gilde Brauerei &#40;InBev&#41;"
"Kursk (Sun-InBev)","InBev Belgium","Hasseröder Brauerei &#40;InBev&#41;","Haskovo (MolsonCoors)"
"Labatt Breweries &#40;AB InBev&#41;","Jinhua InBev Double Deer Beer Co.","Hemelinger Getränke Ahlers GmbH","Hasseröder Brauerei &#40;InBev&#41;"
"Latrobe Brewing Company","Klinskiy Pivokombinat (Sun-InBev)","Hofbrauhaus Wolters","Hemelinger Getränke Ahlers GmbH"
"Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Kursk (Sun-InBev)","InBev Belgium","Hofbrauhaus Wolters"
"Oland Brewery &#40;AB-InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Jinhua InBev Double Deer Beer Co.","InBev Belgium"
"Omsk (Sun-InBev)","Latrobe Brewing Company","Klinskiy Pivokombinat (Sun-InBev)","Jinhua InBev Double Deer Beer Co."
"Oriental Brewery (AB-InBev)","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Kursk (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)"
"Perm Brewery (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Kursk (Sun-InBev)"
"Pivovar Ostravar (Staropramen - MolsonCoors)","Omsk (Sun-InBev)","Latrobe Brewing Company","Labatt Breweries &#40;AB InBev&#41;"
"Pivovaren Zavod Kamenitza (MolsonCoors)","Oriental Brewery (AB-InBev)","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Latrobe Brewing Company"
"Pivzavod Saransk (Sun-InBev)","Perm Brewery (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)"
"Rogan (Sun-InBev)","Pivovar Ostravar (Staropramen - MolsonCoors)","Omsk (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;"
"Samlesbury &#40;AB InBev UK&#41;","Pivovaren Zavod Kamenitza (MolsonCoors)","Oriental Brewery (AB-InBev)","Omsk (Sun-InBev)"
"Staropramen Breweries (MolsonCoors)","Pivzavod Saransk (Sun-InBev)","Perm Brewery (Sun-InBev)","Oriental Brewery (AB-InBev)"
"Strangeways &#40;Interbrew UK - InBev&#41;","Rogan (Sun-InBev)","Pivovar Ostravar (Staropramen - MolsonCoors)","Perm Brewery (Sun-InBev)"
"Trebjesa (MolsonCoors)","Samlesbury &#40;AB InBev UK&#41;","Pivovaren Zavod Kamenitza (MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)"
"United Dutch Breweries","Staropramen Breweries (MolsonCoors)","Pivzavod Saransk (Sun-InBev)","Pivovaren Zavod Kamenitza (MolsonCoors)"
"Volzhsky Brewery (Sun-InBev)","Strangeways &#40;Interbrew UK - InBev&#41;","Rogan (Sun-InBev)","Pivzavod Saransk (Sun-InBev)"
"Wellpark (Tennent Caledonian - C&C Group)","Trebjesa (MolsonCoors)","Samlesbury &#40;AB InBev UK&#41;","Rogan (Sun-InBev)"
"Yantar Brewery (Ukraine) (Sun-InBev)","United Dutch Breweries","Staropramen Breweries (MolsonCoors)","Samlesbury &#40;AB InBev UK&#41;"
"Zagrebačka Pivovara (MolsonCoors)","Volzhsky Brewery (Sun-InBev)","Strangeways &#40;Interbrew UK - InBev&#41;","Staropramen Breweries (MolsonCoors)"
,"Wellpark (Tennent Caledonian - C&C Group)","Trebjesa (MolsonCoors)","Strangeways &#40;Interbrew UK - InBev&#41;"
,"Yantar Brewery (Ukraine) (Sun-InBev)","United Dutch Breweries","Trebjesa (MolsonCoors)"
,"Zagrebačka Pivovara (MolsonCoors)","Volzhsky Brewery (Sun-InBev)","United Dutch Breweries"
,,"Wellpark (Tennent Caledonian - C&C Group)","Volzhsky Brewery (Sun-InBev)"
,,"Yantar Brewery (Ukraine) (Sun-InBev)","Wellpark (Tennent Caledonian - C&C Group)"
,,"Zagrebačka Pivovara (MolsonCoors)","Yantar Brewery (Ukraine) (Sun-InBev)"
,,,"Zagrebačka Pivovara (MolsonCoors)"
